baseMVA = 10;

bus = [
    [  1, 3,        0,        0, 0, 0, 1, 1, 0, 11, 1,   1,   1],
    [  2, 1,  0.13384,  0.10114, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  3, 1, 0.016214, 0.011292, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  4, 1, 0.034315, 0.021845, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  5, 1, 0.073016, 0.063602, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  6, 1,   0.1442, 0.068604, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  7, 1,  0.10447, 0.061725, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  8, 1, 0.028547, 0.011503, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [  9, 1,  0.08756, 0.051073, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 10, 1,   0.1982,  0.10677, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 11, 1,   0.1468, 0.075995, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 12, 1,  0.02604, 0.018687, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 13, 1,   0.0521,  0.02322, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 14, 1,   0.1419,   0.1175, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 15, 1,  0.02187,  0.02879, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 16, 1,  0.03337,  0.02645, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 17, 1,  0.03243,  0.02523, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 18, 1, 0.020234, 0.011906, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 19, 1,  0.15694, 0.078523, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 20, 1,  0.54629,   0.3514, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 21, 1,  0.18031,   0.1642, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
    [ 22, 1, 0.093167, 0.054594, 0, 0, 1, 1, 0, 11, 1, 1.1, 0.9],
