baseMVA = 10;

bus = [
    [  1, 3,        0,       0, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  2, 1,        0,       0, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  3, 1,  0.04778, 0.01901, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  4, 1,  0.04255, 0.01693, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  5, 1,  0.08702, 0.03462, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  6, 1,  0.31131, 0.12386, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  7, 1,  0.14887, 0.05923, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  8, 1,  0.23867, 0.09496, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [  9, 1,   0.0623, 0.02479, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 10, 1,   0.1246, 0.04957, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 11, 1,  0.14018, 0.05577, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 12, 1,  0.11681, 0.04647, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 13, 1,   0.2492, 0.09915, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 14, 1,  0.29145, 0.11595, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 15, 1,  0.30372, 0.12083, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 16, 1,   0.2154,  0.0857, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 17, 1,  0.19859, 0.07901, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 18, 1,        0,       0, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
    [ 19, 1,        0,       0, 0, 0, 1, 1, 0, 13.8, 1, 1.05, 0.95],
